[run1, run2] | name = [year][era]-nib[N]-fib[M] | lum(/fb) |  start and end time  | runs  | number of LS
[378985, 379355]  |    2024B-nib1-fib1   |     0.1317 fb^-1  |  1189464 to 1199739  |   16  |  5938
[379416, 379618]  |    2024C-nib1-fib1   |      1.223 fb^-1  |  1202014 to 1207243  |   12  |  5432
[379660, 379729]  |    2024C-nib1-fib2   |     0.9491 fb^-1  |  1207729 to 1209218  |    3  |  3378
[379765, 379866]  |    2024C-nib1-fib3   |     0.8562 fb^-1  |  1210443 to 1215157  |    3  |  3199
[379984, 380043]  |    2024C-nib1-fib4   |      1.375 fb^-1  |  1217507 to 1219604  |    9  |  4168
[380049, 380066]  |    2024C-nib1-fib5   |     0.8356 fb^-1  |  1220110 to 1221017  |    6  |  2466
[380074, 380115]  |    2024C-nib1-fib6   |      1.081 fb^-1  |  1221504 to 1223142  |    2  |  3098
[380126, 380238]  |    2024C-nib1-fib7   |     0.9423 fb^-1  |  1223969 to 1226646  |    8  |  2576
[380306, 380349]  |    2024D-nib1-fib1   |      1.189 fb^-1  |  1228074 to 1229679  |    7  |  3361
[380360, 380384]  |    2024D-nib1-fib2   |      1.141 fb^-1  |  1230176 to 1231617  |    3  |  3099
[380385, 380444]  |    2024D-nib1-fib3   |     0.8167 fb^-1  |  1231914 to 1233561  |    4  |  2313
[380446, 380470]  |    2024D-nib1-fib4   |      1.298 fb^-1  |  1233693 to 1234866  |    4  |  3941
[380481, 380513]  |    2024D-nib1-fib5   |     0.8225 fb^-1  |  1235857 to 1236755  |    2  |  2018
[380517, 380564]  |    2024D-nib1-fib6   |      1.005 fb^-1  |  1237220 to 1238387  |    6  |  2752
[380567, 380624]  |    2024D-nib1-fib7   |     0.8055 fb^-1  |  1238694 to 1241236  |    3  |  2278
[380625, 380947]  |    2024D-nib1-fib8   |     0.8989 fb^-1  |  1241554 to 1253498  |    8  |  3446
[380963, 381065]  |  2024Ev1-nib1-fib1   |     0.9285 fb^-1  |  1254042 to 1256416  |    4  |  2407
